Variable,FeatureOrMeta,SubgroupAnalysis,FeatureCategory
"Minimum Alanine transaminase 48 hours before index date, IU/L",Feature,No,Laboratory tests
"Mean Alanine transaminase 48 hours before index date, IU/L",Feature,No,Laboratory tests
"Median Alanine transaminase 48 hours before index date, IU/L",Feature,No,Laboratory tests
SD of Alanine transaminase 48 hours before index date,Feature,No,Laboratory tests
Had Alanine transaminase 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Albumin 48 hours before index date,Feature,No,Laboratory tests
"Maximum Albumin 48 hours before index date, g/L",Feature,No,Laboratory tests
"Minimum Albumin 48 hours before index date, g/L",Feature,No,Laboratory tests
"Mean Albumin 48 hours before index date, g/L",Feature,No,Laboratory tests
"Median Albumin 48 hours before index date, g/L",Feature,No,Laboratory tests
SD of Albumin 48 hours before index date,Feature,No,Laboratory tests
Had Albumin 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Alkaline phosphatase 48 hours before index date,Feature,No,Laboratory tests
"Maximum Alkaline phosphatase 48 hours before index date, IU/L",Feature,No,Laboratory tests
"Minimum Alkaline phosphatase 48 hours before index date, IU/L",Feature,No,Laboratory tests
"Mean Alkaline phosphatase 48 hours before index date, IU/L",Feature,No,Laboratory tests
"Median Alkaline phosphatase 48 hours before index date, IU/L",Feature,No,Laboratory tests
SD of Alkaline phosphatase 48 hours before index date,Feature,No,Laboratory tests
Had Alkaline phosphatase 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Base excess (Standard) 48 hours before index date,Feature,No,Laboratory tests
"Maximum Base excess (Standard) 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Base excess (Standard) 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Base excess (Standard) 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Base excess (Standard) 48 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Base excess (Standard) 48 hours before index date,Feature,No,Laboratory tests
Had Base excess (Standard) 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Basophils 48 hours before index date,Feature,No,Laboratory tests
"Maximum Basophils 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Basophils 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Basophils 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Basophils 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Basophils 48 hours before index date,Feature,No,Laboratory tests
Had Basophils 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Bilirubin 48 hours before index date,Feature,No,Laboratory tests
"Maximum Bilirubin 48 hours before index date, umol/L",Feature,No,Laboratory tests
"Minimum Bilirubin 48 hours before index date, umol/L",Feature,No,Laboratory tests
"Mean Bilirubin 48 hours before index date, umol/L",Feature,No,Laboratory tests
"Median Bilirubin 48 hours before index date, umol/L",Feature,No,Laboratory tests
SD of Bilirubin 48 hours before index date,Feature,No,Laboratory tests
Had Bilirubin 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Calcium 48 hours before index date,Feature,No,Laboratory tests
"Maximum Calcium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Calcium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Calcium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Calcium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Calcium 48 hours before index date,Feature,No,Laboratory tests
Had Calcium 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of C-reactive protein 48 hours before index date,Feature,No,Laboratory tests
"Maximum C-reactive protein 48 hours before index date, mg/L",Feature,No,Laboratory tests
"Minimum C-reactive protein 48 hours before index date, mg/L",Feature,No,Laboratory tests
"Mean C-reactive protein 48 hours before index date, mg/L",Feature,No,Laboratory tests
"Median C-reactive protein 48 hours before index date, mg/L",Feature,No,Laboratory tests
SD of C-reactive protein 48 hours before index date,Feature,No,Laboratory tests
Had C-reactive protein 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of cGlu 48 hours before index date,Feature,No,Laboratory tests
"Maximum cGlu 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum cGlu 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean cGlu 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median cGlu 48 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of cGlu 48 hours before index date,Feature,No,Laboratory tests
Had cGlu 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of cHCO3(P 48 hours before index date,Feature,No,Laboratory tests
"Maximum cHCO3(P 48 hours before index date,st)c",Feature,No,Laboratory tests
"Minimum cHCO3(P 48 hours before index date,st)c",Feature,No,Laboratory tests
"Mean cHCO3(P 48 hours before index date,st)c",Feature,No,Laboratory tests
"Median cHCO3(P 48 hours before index date,st)c",Feature,No,Laboratory tests
SD of cHCO3(P 48 hours before index date,Feature,No,Laboratory tests
Had cHCO3(P 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of cLac 48 hours before index date,Feature,No,Laboratory tests
"Maximum cLac 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum cLac 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean cLac 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median cLac 48 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of cLac 48 hours before index date,Feature,No,Laboratory tests
Had cLac 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Creatinine 48 hours before index date,Feature,No,Laboratory tests
"Maximum Creatinine 48 hours before index date, umol/L",Feature,No,Laboratory tests
"Minimum Creatinine 48 hours before index date, umol/L",Feature,No,Laboratory tests
"Mean Creatinine 48 hours before index date, umol/L",Feature,No,Laboratory tests
"Median Creatinine 48 hours before index date, umol/L",Feature,No,Laboratory tests
SD of Creatinine 48 hours before index date,Feature,No,Laboratory tests
Had Creatinine 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of D-dimer 48 hours before index date,Feature,No,Laboratory tests
"Maximum D-dimer 48 hours before index date, ug/L FEU",Feature,No,Laboratory tests
"Minimum D-dimer 48 hours before index date, ug/L FEU",Feature,No,Laboratory tests
"Mean D-dimer 48 hours before index date, ug/L FEU",Feature,No,Laboratory tests
"Median D-dimer 48 hours before index date, ug/L FEU",Feature,No,Laboratory tests
SD of D-dimer 48 hours before index date,Feature,No,Laboratory tests
Had D-dimer 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of eGFR 48 hours before index date,Feature,No,Laboratory tests
"Maximum eGFR 48 hours before index date, ml/min/1.73m*2",Feature,No,Laboratory tests
"Minimum eGFR 48 hours before index date, ml/min/1.73m*2",Feature,No,Laboratory tests
"Mean eGFR 48 hours before index date, ml/min/1.73m*2",Feature,No,Laboratory tests
"Median eGFR 48 hours before index date, ml/min/1.73m*2",Feature,No,Laboratory tests
SD of eGFR 48 hours before index date,Feature,No,Laboratory tests
Had eGFR 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Eosinophils 48 hours before index date,Feature,No,Laboratory tests
"Maximum Eosinophils 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Eosinophils 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Eosinophils 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Eosinophils 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Eosinophils 48 hours before index date,Feature,No,Laboratory tests
Had Eosinophils 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of FiO2 48 hours before index date,Feature,No,Laboratory tests
"Maximum FiO2 48 hours before index date, %",Feature,No,Laboratory tests
"Minimum FiO2 48 hours before index date, %",Feature,No,Laboratory tests
"Mean FiO2 48 hours before index date, %",Feature,No,Laboratory tests
"Median FiO2 48 hours before index date, %",Feature,No,Laboratory tests
SD of FiO2 48 hours before index date,Feature,No,Laboratory tests
Had FiO2 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Glucose 48 hours before index date,Feature,No,Laboratory tests
"Maximum Glucose 48 hours before index date, mmol/l",Feature,No,Laboratory tests
"Minimum Glucose 48 hours before index date, mmol/l",Feature,No,Laboratory tests
"Mean Glucose 48 hours before index date, mmol/l",Feature,No,Laboratory tests
"Median Glucose 48 hours before index date, mmol/l",Feature,No,Laboratory tests
SD of Glucose 48 hours before index date,Feature,No,Laboratory tests
Had Glucose 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Haemoglobin 48 hours before index date,Feature,No,Laboratory tests
"Maximum Haemoglobin 48 hours before index date, g/L",Feature,No,Laboratory tests
"Minimum Haemoglobin 48 hours before index date, g/L",Feature,No,Laboratory tests
"Mean Haemoglobin 48 hours before index date, g/L",Feature,No,Laboratory tests
"Median Haemoglobin 48 hours before index date, g/L",Feature,No,Laboratory tests
SD of Haemoglobin 48 hours before index date,Feature,No,Laboratory tests
Had Haemoglobin 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Hematocrit 48 hours before index date,Feature,No,Laboratory tests
"Maximum Hematocrit 48 hours before index date, L/L",Feature,No,Laboratory tests
"Minimum Hematocrit 48 hours before index date, L/L",Feature,No,Laboratory tests
"Mean Hematocrit 48 hours before index date, L/L",Feature,No,Laboratory tests
"Median Hematocrit 48 hours before index date, L/L",Feature,No,Laboratory tests
SD of Hematocrit 48 hours before index date,Feature,No,Laboratory tests
Had Hematocrit 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Hemoglobin A1c (DCCT) 48 hours before index date,Feature,No,Laboratory tests
"Maximum Hemoglobin A1c (DCCT) 48 hours before index date, %",Feature,No,Laboratory tests
"Minimum Hemoglobin A1c (DCCT) 48 hours before index date, %",Feature,No,Laboratory tests
"Mean Hemoglobin A1c (DCCT) 48 hours before index date, %",Feature,No,Laboratory tests
"Median Hemoglobin A1c (DCCT) 48 hours before index date, %",Feature,No,Laboratory tests
SD of Hemoglobin A1c (DCCT) 48 hours before index date,Feature,No,Laboratory tests
Had Hemoglobin A1c (DCCT) 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Immature granulocytes 48 hours before index date,Feature,No,Laboratory tests
"Maximum Immature granulocytes 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Immature granulocytes 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Immature granulocytes 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Immature granulocytes 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Immature granulocytes 48 hours before index date,Feature,No,Laboratory tests
Had Immature granulocytes 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Ketone 48 hours before index date,Feature,No,Laboratory tests
"Maximum Ketone 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Ketone 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Ketone 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Ketone 48 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Ketone 48 hours before index date,Feature,No,Laboratory tests
Had Ketone 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Lymphocytes 48 hours before index date,Feature,No,Laboratory tests
"Maximum Lymphocytes 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Lymphocytes 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Lymphocytes 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Lymphocytes 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Lymphocytes 48 hours before index date,Feature,No,Laboratory tests
Had Lymphocytes 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Mean corpuscular volume 48 hours before index date,Feature,No,Laboratory tests
"Maximum Mean corpuscular volume 48 hours before index date, fL",Feature,No,Laboratory tests
"Minimum Mean corpuscular volume 48 hours before index date, fL",Feature,No,Laboratory tests
"Mean Mean corpuscular volume 48 hours before index date, fL",Feature,No,Laboratory tests
"Median Mean corpuscular volume 48 hours before index date, fL",Feature,No,Laboratory tests
SD of Mean corpuscular volume 48 hours before index date,Feature,No,Laboratory tests
Had Mean corpuscular volume 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Monocytes 48 hours before index date,Feature,No,Laboratory tests
"Maximum Monocytes 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Monocytes 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Monocytes 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Monocytes 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Monocytes 48 hours before index date,Feature,No,Laboratory tests
Had Monocytes 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Neutrophils 48 hours before index date,Feature,No,Laboratory tests
"Maximum Neutrophils 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Neutrophils 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Neutrophils 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Neutrophils 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Neutrophils 48 hours before index date,Feature,No,Laboratory tests
Had Neutrophils 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of PCO2 48 hours before index date,Feature,No,Laboratory tests
"Maximum PCO2 48 hours before index date, kPa",Feature,No,Laboratory tests
"Minimum PCO2 48 hours before index date, kPa",Feature,No,Laboratory tests
"Mean PCO2 48 hours before index date, kPa",Feature,No,Laboratory tests
"Median PCO2 48 hours before index date, kPa",Feature,No,Laboratory tests
SD of PCO2 48 hours before index date,Feature,No,Laboratory tests
Had PCO2 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Phosphate 48 hours before index date,Feature,No,Laboratory tests
"Maximum Phosphate 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Phosphate 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Phosphate 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Phosphate 48 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Phosphate 48 hours before index date,Feature,No,Laboratory tests
Had Phosphate 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Platelets 48 hours before index date,Feature,No,Laboratory tests
"Maximum Platelets 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Platelets 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Platelets 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Platelets 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Platelets 48 hours before index date,Feature,No,Laboratory tests
Had Platelets 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of PO2 48 hours before index date,Feature,No,Laboratory tests
"Maximum PO2 48 hours before index date, kPa",Feature,No,Laboratory tests
"Minimum PO2 48 hours before index date, kPa",Feature,No,Laboratory tests
"Mean PO2 48 hours before index date, kPa",Feature,No,Laboratory tests
"Median PO2 48 hours before index date, kPa",Feature,No,Laboratory tests
SD of PO2 48 hours before index date,Feature,No,Laboratory tests
Had PO2 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Potassium 48 hours before index date,Feature,No,Laboratory tests
"Maximum Potassium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Potassium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Potassium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Potassium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Potassium 48 hours before index date,Feature,No,Laboratory tests
Had Potassium 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Prothrombin time 48 hours before index date,Feature,No,Laboratory tests
"Maximum Prothrombin time 48 hours before index date, seconds",Feature,No,Laboratory tests
"Minimum Prothrombin time 48 hours before index date, seconds",Feature,No,Laboratory tests
"Mean Prothrombin time 48 hours before index date, seconds",Feature,No,Laboratory tests
"Median Prothrombin time 48 hours before index date, seconds",Feature,No,Laboratory tests
SD of Prothrombin time 48 hours before index date,Feature,No,Laboratory tests
Had Prothrombin time 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Sodium 48 hours before index date,Feature,No,Laboratory tests
"Maximum Sodium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Sodium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Sodium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Sodium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Sodium 48 hours before index date,Feature,No,Laboratory tests
Had Sodium 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Urea 48 hours before index date,Feature,No,Laboratory tests
"Maximum Urea 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Urea 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Urea 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Urea 48 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Urea 48 hours before index date,Feature,No,Laboratory tests
Had Urea 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of White cell count 48 hours before index date,Feature,No,Laboratory tests
"Maximum White cell count 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum White cell count 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean White cell count 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median White cell count 48 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of White cell count 48 hours before index date,Feature,No,Laboratory tests
Had White cell count 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Numnber of labtests within 8760 hours before index date,Feature,No,Laboratory tests
Number of Activated partial thromboplastin time 8760 hours before index date,Feature,No,Laboratory tests
Had Activated partial thromboplastin time 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Adjusted calcium 8760 hours before index date,Feature,No,Laboratory tests
Had Adjusted calcium 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Alanine transaminase 8760 hours before index date,Feature,No,Laboratory tests
Had Alanine transaminase 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Albumin 8760 hours before index date,Feature,No,Laboratory tests
Had Albumin 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Alkaline phosphatase 8760 hours before index date,Feature,No,Laboratory tests
Had Alkaline phosphatase 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Base excess (Standard) 8760 hours before index date,Feature,No,Laboratory tests
Had Base excess (Standard) 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Basophils 8760 hours before index date,Feature,No,Laboratory tests
Had Basophils 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Bilirubin 8760 hours before index date,Feature,No,Laboratory tests
Had Bilirubin 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Calcium 8760 hours before index date,Feature,No,Laboratory tests
Had Calcium 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of C-reactive protein 8760 hours before index date,Feature,No,Laboratory tests
Had C-reactive protein 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of cGlu 8760 hours before index date,Feature,No,Laboratory tests
Had cGlu 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of cHCO3(P 8760 hours before index date,Feature,No,Laboratory tests
Had cHCO3(P 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of cLac 8760 hours before index date,Feature,No,Laboratory tests
Had cLac 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Creatinine 8760 hours before index date,Feature,No,Laboratory tests
Had Creatinine 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of D-dimer 8760 hours before index date,Feature,No,Laboratory tests
Had D-dimer 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of eGFR 8760 hours before index date,Feature,No,Laboratory tests
Had eGFR 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Eosinophils 8760 hours before index date,Feature,No,Laboratory tests
Had Eosinophils 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of FiO2 8760 hours before index date,Feature,No,Laboratory tests
Had FiO2 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Glucose 8760 hours before index date,Feature,No,Laboratory tests
Had Glucose 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Haemoglobin 8760 hours before index date,Feature,No,Laboratory tests
Had Haemoglobin 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Hematocrit 8760 hours before index date,Feature,No,Laboratory tests
Had Hematocrit 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Hemoglobin A1c (DCCT) 8760 hours before index date,Feature,No,Laboratory tests
Had Hemoglobin A1c (DCCT) 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Immature granulocytes 8760 hours before index date,Feature,No,Laboratory tests
Had Immature granulocytes 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Ketone 8760 hours before index date,Feature,No,Laboratory tests
Had Ketone 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Lymphocytes 8760 hours before index date,Feature,No,Laboratory tests
Had Lymphocytes 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Mean corpuscular volume 8760 hours before index date,Feature,No,Laboratory tests
Had Mean corpuscular volume 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Monocytes 8760 hours before index date,Feature,No,Laboratory tests
Had Monocytes 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Neutrophils 8760 hours before index date,Feature,No,Laboratory tests
Had Neutrophils 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of PCO2 8760 hours before index date,Feature,No,Laboratory tests
Had PCO2 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Phosphate 8760 hours before index date,Feature,No,Laboratory tests
Had Phosphate 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Platelets 8760 hours before index date,Feature,No,Laboratory tests
Had Platelets 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of PO2 8760 hours before index date,Feature,No,Laboratory tests
Had PO2 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Potassium 8760 hours before index date,Feature,No,Laboratory tests
Had Potassium 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Prothrombin time 8760 hours before index date,Feature,No,Laboratory tests
Had Prothrombin time 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Sodium 8760 hours before index date,Feature,No,Laboratory tests
Had Sodium 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Urea 8760 hours before index date,Feature,No,Laboratory tests
Had Urea 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of White cell count 8760 hours before index date,Feature,No,Laboratory tests
Had White cell count 8760 hours before index date (Yes/No),Feature,No,Laboratory tests
Numnber of labtests within current admission,Feature,No,Laboratory tests
Number of Activated partial thromboplastin time within current admission,Feature,No,Laboratory tests
"Maximum Activated partial thromboplastin time within current admission, seconds",Feature,No,Laboratory tests
"Minimum Activated partial thromboplastin time within current admission, seconds",Feature,No,Laboratory tests
"Mean Activated partial thromboplastin time within current admission, seconds",Feature,No,Laboratory tests
"Median Activated partial thromboplastin time within current admission, seconds",Feature,No,Laboratory tests
SD of Activated partial thromboplastin time within current admission,Feature,No,Laboratory tests
Had Activated partial thromboplastin time within current admission (Yes/No),Feature,No,Laboratory tests
Number of Adjusted calcium within current admission,Feature,No,Laboratory tests
"Maximum Adjusted calcium within current admission, mmol/L",Feature,No,Laboratory tests
"Minimum Adjusted calcium within current admission, mmol/L",Feature,No,Laboratory tests
"Mean Adjusted calcium within current admission, mmol/L",Feature,No,Laboratory tests
"Median Adjusted calcium within current admission, mmol/L",Feature,No,Laboratory tests
SD of Adjusted calcium within current admission,Feature,No,Laboratory tests
Had Adjusted calcium within current admission (Yes/No),Feature,No,Laboratory tests
Number of Alanine transaminase within current admission,Feature,No,Laboratory tests
"Maximum Alanine transaminase within current admission, IU/L",Feature,No,Laboratory tests
"Minimum Alanine transaminase within current admission, IU/L",Feature,No,Laboratory tests
"Mean Alanine transaminase within current admission, IU/L",Feature,No,Laboratory tests
"Median Alanine transaminase within current admission, IU/L",Feature,No,Laboratory tests
SD of Alanine transaminase within current admission,Feature,No,Laboratory tests
Had Alanine transaminase within current admission (Yes/No),Feature,No,Laboratory tests
Number of Albumin within current admission,Feature,No,Laboratory tests
"Maximum Albumin within current admission, g/L",Feature,No,Laboratory tests
"Minimum Albumin within current admission, g/L",Feature,No,Laboratory tests
"Mean Albumin within current admission, g/L",Feature,No,Laboratory tests
"Median Albumin within current admission, g/L",Feature,No,Laboratory tests
SD of Albumin within current admission,Feature,No,Laboratory tests
Had Albumin within current admission (Yes/No),Feature,No,Laboratory tests
Number of Alkaline phosphatase within current admission,Feature,No,Laboratory tests
"Maximum Alkaline phosphatase within current admission, IU/L",Feature,No,Laboratory tests
"Minimum Alkaline phosphatase within current admission, IU/L",Feature,No,Laboratory tests
"Mean Alkaline phosphatase within current admission, IU/L",Feature,No,Laboratory tests
"Median Alkaline phosphatase within current admission, IU/L",Feature,No,Laboratory tests
SD of Alkaline phosphatase within current admission,Feature,No,Laboratory tests
Had Alkaline phosphatase within current admission (Yes/No),Feature,No,Laboratory tests
Number of Base excess (Standard) within current admission,Feature,No,Laboratory tests
"Maximum Base excess (Standard) within current admission, mmol/L",Feature,No,Laboratory tests
"Minimum Base excess (Standard) within current admission, mmol/L",Feature,No,Laboratory tests
"Mean Base excess (Standard) within current admission, mmol/L",Feature,No,Laboratory tests
"Median Base excess (Standard) within current admission, mmol/L",Feature,No,Laboratory tests
SD of Base excess (Standard) within current admission,Feature,No,Laboratory tests
Had Base excess (Standard) within current admission (Yes/No),Feature,No,Laboratory tests
Number of Basophils within current admission,Feature,No,Laboratory tests
"Maximum Basophils within current admission, x10*9/L",Feature,No,Laboratory tests
"Minimum Basophils within current admission, x10*9/L",Feature,No,Laboratory tests
"Mean Basophils within current admission, x10*9/L",Feature,No,Laboratory tests
"Median Basophils within current admission, x10*9/L",Feature,No,Laboratory tests
SD of Basophils within current admission,Feature,No,Laboratory tests
Had Basophils within current admission (Yes/No),Feature,No,Laboratory tests
Number of Bilirubin within current admission,Feature,No,Laboratory tests
"Maximum Bilirubin within current admission, umol/L",Feature,No,Laboratory tests
"Minimum Bilirubin within current admission, umol/L",Feature,No,Laboratory tests
"Mean Bilirubin within current admission, umol/L",Feature,No,Laboratory tests
"Median Bilirubin within current admission, umol/L",Feature,No,Laboratory tests
SD of Bilirubin within current admission,Feature,No,Laboratory tests
Had Bilirubin within current admission (Yes/No),Feature,No,Laboratory tests
Number of Calcium within current admission,Feature,No,Laboratory tests
"Maximum Calcium within current admission, mmol/L",Feature,No,Laboratory tests
"Minimum Calcium within current admission, mmol/L",Feature,No,Laboratory tests
"Mean Calcium within current admission, mmol/L",Feature,No,Laboratory tests
"Median Calcium within current admission, mmol/L",Feature,No,Laboratory tests
SD of Calcium within current admission,Feature,No,Laboratory tests
Had Calcium within current admission (Yes/No),Feature,No,Laboratory tests
Number of C-reactive protein within current admission,Feature,No,Laboratory tests
"Maximum C-reactive protein within current admission, mg/L",Feature,No,Laboratory tests
"Minimum C-reactive protein within current admission, mg/L",Feature,No,Laboratory tests
"Mean C-reactive protein within current admission, mg/L",Feature,No,Laboratory tests
"Median C-reactive protein within current admission, mg/L",Feature,No,Laboratory tests
SD of C-reactive protein within current admission,Feature,No,Laboratory tests
Had C-reactive protein within current admission (Yes/No),Feature,No,Laboratory tests
Number of cGlu within current admission,Feature,No,Laboratory tests
"Maximum cGlu within current admission, mmol/L",Feature,No,Laboratory tests
